S,S
S,S
S_rings,S_fibers,S_rings,S_fibers
S_rings,S_fibers,S_rings,S_fibers
1,0.33031104953103774,0.2900142263491642,0.30068242635045733,0.2683119558330093
S_rings,S_fibers,S_rings,S_fibers
1,0.31566465972530794,0.30776300186356065,0.29616077159132276,0.2819324755242893
2,0.2716178913460505,0.25497931065073803,0.28542487280709405,0.26126730921013014
3,0.2619100447787281,0.2473449598508797,0.28536376101630073,0.26269799545407296
4,0.2484084149125,0.2394210543181445,0.2811889173729079,0.2559134570615632
5,0.2499846825627862,0.23990147029369724,0.28329479577285904,0.2608362584241799
6,0.24795450294627647,0.22846612533460942,0.27434050419500894,0.2502631136349269
7,0.2457549416363009,0.23607515438700735,0.2765184459941728,0.24676402849810464
8,0.24394690059844593,0.2372427607623997,0.2824122239436422,0.24248987111662115
9,0.2493096890366676,0.23372820690346155,0.2727562604205949,0.24587031613503182
10,0.24731319431488807,0.23189288174237294,0.2744017188038145,0.24291459896734782
11,0.2469139493512831,0.2257767328812694,0.27502002418041227,0.2491143853536674
12,0.24197563487302842,0.2337517826943784,0.27066206548895155,0.24545920842460223
13,0.2429304013898934,0.23134732976354458,0.2699964157172612,0.24819110577393855
14,0.24393003528872972,0.22601921570174482,0.272385536134243,0.2594626506524427
15,0.2430639644315229,0.22615155137528783,0.2734128673161779,0.23992156684398652
16,0.24659745104639685,0.23066844922062513,0.2651360289326736,0.239272070143904
17,0.2370580401285965,0.22125905778791224,0.2647118997360979,0.2383003274777106
18,0.2354370017884781,0.23225331775355063,0.2756696473274912,0.23888007740357092
19,0.2409600937257172,0.22477369224760524,0.2665351131132671,0.23977214523724147
20,0.23601194163316924,0.22949145612051589,0.26820451446941923,0.2530515547309603
21,0.24141133887312127,0.22459104432433152,0.26649007541792735,0.2424860197518553
22,0.24496242385285702,0.22112296229681452,0.26297003786478723,0.2471412212720939
23,0.23565067184017433,0.21592956726011392,0.26023637992995124,0.24268739234123912
24,0.23583372148710327,0.23368549107800465,0.27341691851615907,0.23383533858827182
25,0.24229853841904048,0.21531956984830525,0.2646017235304628,0.23724616547780378
26,0.23957193442925984,0.221773370712075,0.2658961262021746,0.23406371218817576
27,0.2282680673848363,0.21924277965310227,0.2662724113890103,0.236545045035226
28,0.23759807653466247,0.2176782033517669,0.261876050063542,0.23946402573159764
29,0.2361131513555998,0.22184646076749306,0.26651828970227925,0.23660070709884168
30,0.23620015237494785,0.22464754449699836,0.2538050992148263,0.23836119707141604
31,0.23202384819913094,0.23463891234076276,0.2645360882793154,0.23597046626465662
32,0.23119342947040747,0.21294036142988323,0.268254360130855,0.24074192068406514
33,0.23571871891330107,0.21193677449462267,0.263988319677966,0.2538719709430422
34,0.24092249360841675,0.22245365433020942,0.2627733786191259,0.24618269886289323
35,0.23756882703672505,0.22103189049166372,0.26332538947463036,0.23487876142774308
36,0.2262115400413979,0.22394018034849847,0.25979124563080924,0.23550430714551893
37,0.23509576571493995,0.22101486884201355,0.2655483266072614,0.24846300057002477
38,0.24335728444763133,0.22933850268757827,0.2633995356304305,0.2322640709845083
39,0.2330010118804383,0.21948515259908893,0.2659698671528271,0.240392422995397
40,0.23758828478890495,0.21768867264548497,0.2667441957763263,0.24027092392955507
41,0.23535529761413349,0.22423114638387237,0.26762969642877577,0.23311345939125333
42,0.24380964132809732,0.22240810107051406,0.2622383417827742,0.2372488629605089
43,0.2341227655273837,0.22282509151558502,0.26207816866891726,0.23760222398809025
44,0.2304681767943283,0.21649912685788736,0.26184449281011307,0.23743314476949828
45,0.23445513932228548,0.22029344401678294,0.2603234024984496,0.23401193278176444
46,0.2362541095083975,0.22086413170869057,0.2566347958786147,0.23969466941697257
47,0.23305495992360428,0.21831992075465706,0.25843140695776257,0.23842521597232139
48,0.21980184351155196,0.21642301585812942,0.27353519946336746,0.23696571945079736
49,0.23690807110985965,0.21621716594050233,0.2614096875701632,0.23110407793096133
50,0.23238402091570803,0.21146291537160003,0.2567418798804283,0.23248624918716296
51,0.22647590760472427,0.21811229898864007,0.2570189306778567,0.23959111528737204
52,0.2331792963201245,0.217581951307514,0.2575993345252105,0.234290568956307
53,0.233812867904722,0.21475855546597117,0.2641837509615081,0.23060111722775867
54,0.2261319868122749,0.21756732110006008,0.25937832657779963,0.23368247534547534
55,0.23656381691112022,0.2186650955298031,0.256796269012349,0.23665388833199227
56,0.22677097099915894,0.22225094495276457,0.2595930608255523,0.234027147931712
57,0.228649121281263,0.21572524487152409,0.25769825960908616,0.23650821702820915
58,0.22817781124566053,0.21251844481698104,0.25282416492700577,0.23075855635106562
